gene1,gene2,D,Wn,hap_num,sample_num
HLA-DQB1,TAP1,0.419349837829784,0.400721052956116,348,985
TAP1,HLA-DQB1,0.419349837829784,0.400721052956116,348,985
HLA-DQB1,TAP2,0.449411688657845,0.436932166710242,446,979
TAP2,HLA-DQB1,0.449411688657845,0.436932166710242,446,979
HLA-DQB2,HLA-B,0.479715500648353,0.441669260271382,477,912
HLA-B,HLA-DQB2,0.479715500648353,0.441669260271382,477,912
HLA-DQB2,HLA-C,0.423699675626214,0.339872428012774,364,924
HLA-C,HLA-DQB2,0.423699675626214,0.339872428012774,364,924
HLA-DQB2,HLA-DMB,0.259960497601625,0.182409828592189,125,925
HLA-DMB,HLA-DQB2,0.259960497601625,0.182409828592189,125,925
HLA-DQB2,HLA-DOA,0.34856717156036,0.327827464046497,223,899
HLA-DOA,HLA-DQB2,0.34856717156036,0.327827464046497,223,899
HLA-DQB2,HLA-DOB,0.48073698740412,0.330168220672429,85,896
HLA-DOB,HLA-DQB2,0.48073698740412,0.330168220672429,85,896
HLA-DQB2,HLA-DPB1,0.525906885371134,0.502489189687861,624,946
HLA-DPB1,HLA-DQB2,0.525906885371134,0.502489189687861,624,946
HLA-DQB2,HLA-DPB2,0.256177847364825,0.211177122490546,75,947
HLA-DPB2,HLA-DQB2,0.256177847364825,0.211177122490546,75,947
HLA-DQB2,HLA-DQA2,0.719817201592897,0.377865694502642,98,947
HLA-DQA2,HLA-DQB2,0.719817201592897,0.377865694502642,98,947
HLA-DQB2,HLA-DRA,0.389903360232131,0.265945085007236,254,947
HLA-DRA,HLA-DQB2,0.389903360232131,0.265945085007236,254,947
HLA-DQB2,HLA-DRB1,0.57671575549658,0.414101507667844,620,947
HLA-DRB1,HLA-DQB2,0.57671575549658,0.414101507667844,620,947
HLA-DQB2,HLA-DRB3,0.221518873365397,0.214953060468157,154,824
HLA-DRB3,HLA-DQB2,0.221518873365397,0.214953060468157,154,824
HLA-DQB2,HLA-DRB4,0.212625130454214,0.249138905282256,140,947
HLA-DRB4,HLA-DQB2,0.212625130454214,0.249138905282256,140,947
HLA-DQB2,HLA-DRB5,0.169463994174771,0.159531516572952,111,937
HLA-DRB5,HLA-DQB2,0.169463994174771,0.159531516572952,111,937
HLA-DQB2,HLA-F,0.270136018823864,0.198017700246644,214,906
HLA-F,HLA-DQB2,0.270136018823864,0.198017700246644,214,906
HLA-DQB2,HLA-H,0.294201326554493,0.212361522730474,173,726
HLA-H,HLA-DQB2,0.294201326554493,0.212361522730474,173,726
HLA-DQB2,HLA-K,0.181720083579868,0.18521265863125,77,728
HLA-K,HLA-DQB2,0.181720083579868,0.18521265863125,77,728
HLA-DQB2,HLA-L,0.151071870148807,0.203200973762605,65,911
