gene1,gene2,D,Wn,hap_num,sample_num,Wab,min_w
TRBV10-2,TRBV2,0.0959731412952499,0.00475643945526658,4,728,0.00475643945531954,0.0047564394552177
TRBV2,TRBV10-3,0.456191152446616,0.0765526904593762,8,707,0.060705596323921,0.060705596323921
TRBV10-3,TRBV2,0.456191152446616,0.0765526904593762,8,707,0.0765526904593877,0.060705596323921
TRBV2,TRBV11-2,0.344745883173483,0.0322033880462893,4,712,0.032203388046287,0.0322033880461649
TRBV11-2,TRBV2,0.344745883173483,0.0322033880462893,4,712,0.0322033880461649,0.0322033880461649
TRBV2,TRBV11-3,0.5792641321489,0.0322342565368018,4,703,0.0322342565367932,0.0322342565367694
TRBV11-3,TRBV2,0.5792641321489,0.0322342565368018,4,703,0.0322342565367694,0.0322342565367694
TRBV2,TRBV14,0.014681435794993,0.00529787213832459,4,713,0.00529787213830128,0.0052978721377006
TRBV14,TRBV2,0.014681435794993,0.00529787213832459,4,713,0.0052978721377006,0.0052978721377006
TRBV2,TRBV15,0.302691446358671,0.156112127270792,4,719,0.156112127270787,0.156112127270757
TRBV15,TRBV2,0.302691446358671,0.156112127270792,4,719,0.156112127270757,0.156112127270757
TRBV2,TRBV16,0.463926440182551,0.171124907747626,4,707,0.171124907747629,0.171124907747629
TRBV16,TRBV2,0.463926440182551,0.171124907747626,4,707,0.171124907747667,0.171124907747629
TRBV2,TRBV17,0.241431253421928,0.022439934599923,4,720,0.0224399345999101,0.0224399345999101
TRBV17,TRBV2,0.241431253421928,0.022439934599923,4,720,0.0224399345999278,0.0224399345999101
TRBV2,TRBV19,0.082717929710565,0.0811984415647063,4,715,0.0811984415647253,0.081198441564678
TRBV19,TRBV2,0.082717929710565,0.0811984415647063,4,715,0.081198441564678,0.081198441564678
TRBV2,TRBV20-1,0.544403906853904,0.0819303205462574,6,724,0.0712843668454838,0.0712843668454838
TRBV20-1,TRBV2,0.544403906853904,0.0819303205462574,6,724,0.0819303205462351,0.0712843668454838
TRBV2,TRBV21-1,0.0855419708901989,0.0071565617838797,4,708,0.0071565617839323,0.0071565617839323
TRBV21-1,TRBV2,0.0855419708901989,0.0071565617838797,4,708,0.00715656178420566,0.0071565617839323
TRBV2,TRBV24-1,0.481120790500504,0.0387432383088463,4,703,0.0387432383088418,0.0387432383087975
TRBV24-1,TRBV2,0.481120790500504,0.0387432383088463,4,703,0.0387432383087975,0.0387432383087975
TRBV2,TRBV30,0.54343923039676,0.16459282731729,8,717,0.100006477828118,0.100006477828118
TRBV30,TRBV2,0.54343923039676,0.16459282731729,8,717,0.164592827317257,0.100006477828118
TRBV2,TRBV5-3,0.220166102247919,0.0842789832305707,4,715,0.0842789832305765,0.0842789832305765
TRBV5-3,TRBV2,0.220166102247919,0.0842789832305707,4,715,0.0842789832305847,0.0842789832305765
TRBV2,TRBV5-5,0.0656301951610418,0.0132086220109075,4,716,0.0132086220109147,0.0132086220108762
TRBV5-5,TRBV2,0.0656301951610418,0.0132086220109075,4,716,0.0132086220108762,0.0132086220108762
