HLA_allele,KIR_allele,Pearson_r,p_value,p_value_PC_adjusted,bootstrap_pval,corr_tag,empirical_p_value,p_value_corrected,permutation_p_value,split_sample_replication_rate
KIR2DL4*008,IGLV2-18*01,0.7989907755837075,9.878251523990938e-07,0.01801841689535356,0.107,KIR_vs_IG,0.0032,9.828860266370984e-05,0.00034094783498124785,0.0
KIR2DL1*004,IGHV3-49*03,0.7881186816599196,1.7494370736318983e-06,0.0026708837029957642,0.004,KIR_vs_IG,0.0042,0.00011604599255091592,0.0013637913399249914,
KIR3DL1*015,IGHV1-46*01,0.7544066041580698,8.510923710463905e-06,0.04809975738111224,0.122,KIR_vs_IG,0.0084,0.0003387347636764634,0.004091374019774974,
KIR3DL1*002,IGHV1-58*01,0.7562134731785659,7.869423217671922e-06,0.049481864353361736,0.114,KIR_vs_IG,0.0082,0.0003387347636764634,0.004091374019774974,
KIR3DL2*001,IGLV2-14*01,0.7401885635503089,1.542150052698865e-05,0.010926430885488966,0.04,KIR_vs_IG,0.0102,0.0004711761006274549,0.007159904534606206,
KIR2DL1*003,IGKV1-5*04,0.7339271893570357,1.9800651866851998e-05,0.007668981320225984,0.019,KIR_vs_IG,0.0114,0.0004711761006274549,0.008182748039549948,
KIR2DL4*008,IGLV2-18*02,-0.729340472555594,2.3677190986304266e-05,0.006879152327723091,0.115,KIR_vs_IG,0.0122,0.0004711761006274549,0.008182748039549948,0.2
KIR2DP1*001,IGHV3-49*03,0.7345444009068316,1.93246425454379e-05,0.01279634298752207,0.006,KIR_vs_IG,0.0113,0.0004711761006274549,0.008182748039549948,
KIR2DP1*025,IGLV1-41*02,-0.7299826676221585,2.309675296198652e-05,0.003585485272963437,0.0,KIR_vs_IG,0.0121,0.0004711761006274549,0.008182748039549948,
KIR3DL1*002,IGHV3-66*03,0.7240899805866459,2.893031785410555e-05,0.01976876744552644,0.041,KIR_vs_IG,0.0131,0.0005233757502697276,0.008182748039549948,
