Pop,Allele,Count,Total,Frequency
IBS,*38,0,66,0.0
IBS,*169,0,66,0.0
IBS,*171,0,66,0.0
IBS,*2x3,1,66,0.015151515151515152
IBS,*18,0,66,0.0
IBS,*36,0,66,0.0
IBS,*59,1,66,0.015151515151515152
IBS,*108,0,66,0.0
IBS,*6,0,66,0.0
KHV,*89,0,78,0.0
KHV,*106,0,78,0.0
KHV,*4.013,0,78,0.0
KHV,*113,0,78,0.0
KHV,*110,0,78,0.0
KHV,*45,0,78,0.0
KHV,*100,0,78,0.0
KHV,*14,1,78,0.01282051282051282
KHV,*15,1,78,0.01282051282051282
KHV,*17,0,78,0.0
KHV,*32,0,78,0.0
KHV,*122,0,78,0.0
KHV,*36+*10,18,78,0.23076923076923078
KHV,*58,0,78,0.0
KHV,*3,0,78,0.0
KHV,*5,1,78,0.01282051282051282
KHV,*151,0,78,0.0
KHV,*2x2,1,78,0.01282051282051282
KHV,*27,0,78,0.0
KHV,*75,0,78,0.0
KHV,*11,0,78,0.0
KHV,*60,0,78,0.0
KHV,*119,0,78,0.0
KHV,*92,0,78,0.0
KHV,*35,0,78,0.0
KHV,*121,0,78,0.0
KHV,*28,0,78,0.0
KHV,*7,0,78,0.0
KHV,*64,1,78,0.01282051282051282
KHV,*68+*4,0,78,0.0
KHV,*165,0,78,0.0
KHV,*1x2,0,78,0.0
KHV,*17x2,0,78,0.0
KHV,*41,3,78,0.038461538461538464
KHV,*125,0,78,0.0
KHV,*150,0,78,0.0
KHV,*2,5,78,0.0641025641025641
KHV,*144,1,78,0.01282051282051282
KHV,*145,0,78,0.0
KHV,*127,0,78,0.0
KHV,*90,0,78,0.0
KHV,*29,0,78,0.0
KHV,*82,0,78,0.0
KHV,*21,0,78,0.0
KHV,*115,0,78,0.0
KHV,*129,0,78,0.0
KHV,*31,0,78,0.0
KHV,*166,0,78,0.0
KHV,*49,0,78,0.0
KHV,*22,0,78,0.0
KHV,*117,0,78,0.0
KHV,*4x2,0,78,0.0
KHV,*10+*10,1,78,0.01282051282051282
KHV,*4.013+*4,0,78,0.0
KHV,*56,1,78,0.01282051282051282
KHV,*136,0,78,0.0
KHV,*68+*2,0,78,0.0
KHV,*171x2,0,78,0.0
KHV,*141,1,78,0.01282051282051282
KHV,*43x3,0,78,0.0
KHV,*112,0,78,0.0
KHV,*120,0,78,0.0
KHV,*71,0,78,0.0
KHV,*101,1,78,0.01282051282051282
KHV,*83,1,78,0.01282051282051282
KHV,*46,0,78,0.0
KHV,*111,0,78,0.0
KHV,*39,1,78,0.01282051282051282
KHV,*74,0,78,0.0
KHV,*99,0,78,0.0
KHV,*159,0,78,0.0
KHV,*132,1,78,0.01282051282051282
KHV,*146,0,78,0.0
KHV,*171x3,0,78,0.0
KHV,*19,0,78,0.0
KHV,*4,2,78,0.02564102564102564
KHV,*43,0,78,0.0
KHV,*10,26,78,0.3333333333333333
KHV,*86,0,78,0.0
KHV,*33,0,78,0.0
KHV,*170,0,78,0.0
KHV,*88,0,78,0.0
KHV,*68,0,78,0.0
KHV,*84,0,78,0.0
KHV,*9,0,78,0.0
KHV,*1,10,78,0.1282051282051282
KHV,*36x2+*10,0,78,0.0
KHV,*38,0,78,0.0
KHV,*169,0,78,0.0
KHV,*171,0,78,0.0
KHV,*2x3,0,78,0.0
KHV,*18,0,78,0.0
KHV,*36,1,78,0.01282051282051282
KHV,*59,0,78,0.0
KHV,*108,0,78,0.0
KHV,*6,0,78,0.0
PEL,*89,0,86,0.0
PEL,*106,0,86,0.0
PEL,*4.013,0,86,0.0
PEL,*113,0,86,0.0
PEL,*110,0,86,0.0
PEL,*45,0,86,0.0
PEL,*100,0,86,0.0
PEL,*14,0,86,0.0
PEL,*15,0,86,0.0
PEL,*17,1,86,0.011627906976744186
PEL,*32,0,86,0.0
PEL,*122,0,86,0.0
PEL,*36+*10,0,86,0.0
PEL,*58,0,86,0.0
PEL,*3,0,86,0.0
PEL,*5,0,86,0.0
PEL,*151,0,86,0.0
PEL,*2x2,0,86,0.0
PEL,*27,1,86,0.011627906976744186
PEL,*75,0,86,0.0
PEL,*11,0,86,0.0
PEL,*60,0,86,0.0
PEL,*119,1,86,0.011627906976744186
PEL,*92,0,86,0.0
PEL,*35,3,86,0.03488372093023256
PEL,*121,0,86,0.0
PEL,*28,0,86,0.0
PEL,*7,0,86,0.0
PEL,*64,0,86,0.0
PEL,*68+*4,0,86,0.0
PEL,*165,0,86,0.0
PEL,*1x2,1,86,0.011627906976744186
PEL,*17x2,0,86,0.0
PEL,*41,1,86,0.011627906976744186
PEL,*125,0,86,0.0
PEL,*150,0,86,0.0
PEL,*2,21,86,0.2441860465116279
PEL,*144,0,86,0.0
PEL,*145,0,86,0.0
PEL,*127,0,86,0.0
PEL,*90,0,86,0.0
PEL,*29,0,86,0.0
PEL,*82,1,86,0.011627906976744186
PEL,*21,0,86,0.0
PEL,*115,0,86,0.0
PEL,*129,3,86,0.03488372093023256
PEL,*31,0,86,0.0
PEL,*166,0,86,0.0
PEL,*49,0,86,0.0
PEL,*22,0,86,0.0
PEL,*117,0,86,0.0
PEL,*4x2,1,86,0.011627906976744186
PEL,*10+*10,0,86,0.0
PEL,*4.013+*4,0,86,0.0
PEL,*56,1,86,0.011627906976744186
PEL,*136,0,86,0.0
PEL,*68+*2,0,86,0.0
PEL,*171x2,0,86,0.0
PEL,*141,3,86,0.03488372093023256
PEL,*43x3,0,86,0.0
PEL,*112,0,86,0.0
PEL,*120,0,86,0.0
PEL,*71,0,86,0.0
PEL,*101,0,86,0.0
PEL,*83,0,86,0.0
PEL,*46,0,86,0.0
PEL,*111,0,86,0.0
PEL,*39,0,86,0.0
PEL,*74,0,86,0.0
PEL,*99,0,86,0.0
PEL,*159,1,86,0.011627906976744186
PEL,*132,0,86,0.0
PEL,*146,0,86,0.0
PEL,*171x3,0,86,0.0
PEL,*19,1,86,0.011627906976744186
PEL,*4,4,86,0.046511627906976744
PEL,*43,0,86,0.0
PEL,*10,1,86,0.011627906976744186
PEL,*86,0,86,0.0
PEL,*33,0,86,0.0
PEL,*170,0,86,0.0
PEL,*88,0,86,0.0
PEL,*68,0,86,0.0
PEL,*84,0,86,0.0
PEL,*9,0,86,0.0
